,Observation station,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],Date
251,Sodankylä Tähtelä,6.1,-1,6.1,2000-09-08
252,Sodankylä Tähtelä,0.1,-1,7.8,2000-09-09
253,Sodankylä Tähtelä,0.0,-1,9.3,2000-09-10
254,Sodankylä Tähtelä,0.1,-1,8.4,2000-09-11
255,Sodankylä Tähtelä,2.4,-1,7.2,2000-09-12
256,Sodankylä Tähtelä,0.8,-1,4.8,2000-09-13
257,Sodankylä Tähtelä,0.0,-1,2.6,2000-09-14
258,Sodankylä Tähtelä,-1.0,-1,5.8,2000-09-15
259,Sodankylä Tähtelä,0.0,-1,7.6,2000-09-16
260,Sodankylä Tähtelä,0.0,-1,10.8,2000-09-17
261,Sodankylä Tähtelä,0.0,-1,10.5,2000-09-18
262,Sodankylä Tähtelä,0.2,-1,9.2,2000-09-19
263,Sodankylä Tähtelä,0.0,-1,5.3,2000-09-20
264,Sodankylä Tähtelä,-1.0,-1,7.1,2000-09-21
265,Sodankylä Tähtelä,-1.0,-1,5.2,2000-09-22
266,Sodankylä Tähtelä,-1.0,-1,9.3,2000-09-23
267,Sodankylä Tähtelä,0.0,-1,8.3,2000-09-24
268,Sodankylä Tähtelä,0.0,-1,6.9,2000-09-25
269,Sodankylä Tähtelä,-1.0,-1,3.9,2000-09-26
270,Sodankylä Tähtelä,-1.0,-1,4.5,2000-09-27
271,Sodankylä Tähtelä,0.4,-1,7.0,2000-09-28
272,Sodankylä Tähtelä,3.2,-1,9.1,2000-09-29
273,Sodankylä Tähtelä,0.0,-1,9.9,2000-09-30
274,Sodankylä Tähtelä,1.0,-1,9.6,2000-10-01
275,Sodankylä Tähtelä,0.9,-1,7.7,2000-10-02
276,Sodankylä Tähtelä,0.1,-1,9.2,2000-10-03
277,Sodankylä Tähtelä,0.1,-1,9.3,2000-10-04
278,Sodankylä Tähtelä,1.9,-1,8.8,2000-10-05
279,Sodankylä Tähtelä,1.1,-1,9.9,2000-10-06
280,Sodankylä Tähtelä,0.0,-1,10.0,2000-10-07
281,Sodankylä Tähtelä,0.1,-1,9.4,2000-10-08
282,Sodankylä Tähtelä,0.0,-1,10.1,2000-10-09
283,Sodankylä Tähtelä,0.0,-1,8.1,2000-10-10
284,Sodankylä Tähtelä,2.3,-1,5.5,2000-10-11
285,Sodankylä Tähtelä,-1.0,-1,5.3,2000-10-12
286,Sodankylä Tähtelä,7.5,-1,6.2,2000-10-13
287,Sodankylä Tähtelä,-1.0,-1,5.4,2000-10-14
288,Sodankylä Tähtelä,0.1,-1,2.1,2000-10-15
289,Sodankylä Tähtelä,0.1,-1,4.4,2000-10-16
290,Sodankylä Tähtelä,0.1,-1,7.6,2000-10-17
291,Sodankylä Tähtelä,1.7,-1,8.3,2000-10-18
292,Sodankylä Tähtelä,0.0,-1,6.8,2000-10-19
293,Sodankylä Tähtelä,3.6,-1,7.0,2000-10-20
294,Sodankylä Tähtelä,6.1,-1,4.4,2000-10-21
295,Sodankylä Tähtelä,6.0,-1,6.4,2000-10-22
296,Sodankylä Tähtelä,0.3,-1,1.1,2000-10-23
297,Sodankylä Tähtelä,12.5,0,0.6,2000-10-24
298,Sodankylä Tähtelä,12.4,5,0.4,2000-10-25
299,Sodankylä Tähtelä,5.8,6,0.7,2000-10-26
300,Sodankylä Tähtelä,0.0,6,-0.8,2000-10-27
301,Sodankylä Tähtelä,0.4,6,-4.2,2000-10-28
302,Sodankylä Tähtelä,0.1,7,-6.0,2000-10-29
303,Sodankylä Tähtelä,0.2,7,-10.4,2000-10-30
304,Sodankylä Tähtelä,4.0,7,-6.6,2000-10-31
305,Sodankylä Tähtelä,2.6,10,-2.1,2000-11-01
306,Sodankylä Tähtelä,4.8,11,-1.3,2000-11-02
307,Sodankylä Tähtelä,1.8,17,-3.4,2000-11-03
308,Sodankylä Tähtelä,4.9,17,-0.7,2000-11-04
309,Sodankylä Tähtelä,4.9,11,3.0,2000-11-05
310,Sodankylä Tähtelä,8.3,5,2.1,2000-11-06
311,Sodankylä Tähtelä,0.2,4,0.3,2000-11-07
312,Sodankylä Tähtelä,1.1,4,1.2,2000-11-08
313,Sodankylä Tähtelä,1.6,3,1.5,2000-11-09
314,Sodankylä Tähtelä,0.3,3,3.7,2000-11-10
315,Sodankylä Tähtelä,0.4,1,1.5,2000-11-11
316,Sodankylä Tähtelä,3.6,0,1.4,2000-11-12
317,Sodankylä Tähtelä,0.1,0,2.1,2000-11-13
318,Sodankylä Tähtelä,3.0,0,1.7,2000-11-14
319,Sodankylä Tähtelä,0.1,-1,1.1,2000-11-15
320,Sodankylä Tähtelä,0.2,0,-2.2,2000-11-16
321,Sodankylä Tähtelä,0.3,0,-4.3,2000-11-17
322,Sodankylä Tähtelä,0.3,2,-4.4,2000-11-18
323,Sodankylä Tähtelä,0.1,2,-9.2,2000-11-19
324,Sodankylä Tähtelä,0.1,2,-12.0,2000-11-20
325,Sodankylä Tähtelä,0.0,2,-17.7,2000-11-21
326,Sodankylä Tähtelä,0.1,2,-18.0,2000-11-22
327,Sodankylä Tähtelä,0.5,2,-8.9,2000-11-23
328,Sodankylä Tähtelä,0.1,2,-1.4,2000-11-24
329,Sodankylä Tähtelä,0.4,2,0.6,2000-11-25
330,Sodankylä Tähtelä,0.1,1,0.3,2000-11-26
331,Sodankylä Tähtelä,0.1,1,0.4,2000-11-27
332,Sodankylä Tähtelä,0.6,1,0.3,2000-11-28
333,Sodankylä Tähtelä,1.3,1,-1.8,2000-11-29
334,Sodankylä Tähtelä,0.3,3,-3.3,2000-11-30
335,Sodankylä Tähtelä,1.1,3,-2.8,2000-12-01
336,Sodankylä Tähtelä,5.8,5,-2.8,2000-12-02
337,Sodankylä Tähtelä,1.4,10,-3.5,2000-12-03
338,Sodankylä Tähtelä,0.0,11,-6.2,2000-12-04
339,Sodankylä Tähtelä,2.5,11,-4.6,2000-12-05
340,Sodankylä Tähtelä,1.0,11,2.4,2000-12-06
341,Sodankylä Tähtelä,2.8,4,1.1,2000-12-07
342,Sodankylä Tähtelä,0.4,4,-3.5,2000-12-08
343,Sodankylä Tähtelä,0.0,4,-16.1,2000-12-09
344,Sodankylä Tähtelä,0.8,4,-14.2,2000-12-10
345,Sodankylä Tähtelä,3.7,5,-10.0,2000-12-11
346,Sodankylä Tähtelä,1.6,7,-4.7,2000-12-12
347,Sodankylä Tähtelä,0.3,8,-7.4,2000-12-13
348,Sodankylä Tähtelä,3.2,8,-2.2,2000-12-14
349,Sodankylä Tähtelä,0.3,12,-0.9,2000-12-15
350,Sodankylä Tähtelä,0.2,12,-0.5,2000-12-16
351,Sodankylä Tähtelä,0.3,12,-3.1,2000-12-17
352,Sodankylä Tähtelä,0.0,12,-21.2,2000-12-18
353,Sodankylä Tähtelä,-1.0,12,-21.0,2000-12-19
354,Sodankylä Tähtelä,-1.0,11,-17.1,2000-12-20
355,Sodankylä Tähtelä,0.2,11,-15.1,2000-12-21
356,Sodankylä Tähtelä,0.5,11,-5.8,2000-12-22
357,Sodankylä Tähtelä,0.1,11,-10.3,2000-12-23
358,Sodankylä Tähtelä,0.1,12,-15.8,2000-12-24
359,Sodankylä Tähtelä,0.1,12,-22.5,2000-12-25
360,Sodankylä Tähtelä,0.1,12,-26.9,2000-12-26
361,Sodankylä Tähtelä,0.1,12,-25.0,2000-12-27
362,Sodankylä Tähtelä,3.7,12,-17.9,2000-12-28
363,Sodankylä Tähtelä,4.5,21,-17.2,2000-12-29
364,Sodankylä Tähtelä,6.9,26,-9.5,2000-12-30
365,Sodankylä Tähtelä,0.6,36,-16.5,2000-12-31
366,Sodankylä Tähtelä,0.2,34,-12.1,2001-01-01
367,Sodankylä Tähtelä,4.5,34,-4.5,2001-01-02
368,Sodankylä Tähtelä,0.1,31,-6.0,2001-01-03
369,Sodankylä Tähtelä,0.8,30,-5.1,2001-01-04
370,Sodankylä Tähtelä,0.1,30,-5.9,2001-01-05
371,Sodankylä Tähtelä,0.1,29,-4.7,2001-01-06
372,Sodankylä Tähtelä,1.7,28,-4.7,2001-01-07
373,Sodankylä Tähtelä,2.0,30,-7.4,2001-01-08
374,Sodankylä Tähtelä,0.2,31,-12.8,2001-01-09
375,Sodankylä Tähtelä,3.3,30,-10.9,2001-01-10
376,Sodankylä Tähtelä,0.6,34,-8.3,2001-01-11
377,Sodankylä Tähtelä,0.1,34,-14.8,2001-01-12
378,Sodankylä Tähtelä,0.0,33,-8.1,2001-01-13
379,Sodankylä Tähtelä,-1.0,32,1.4,2001-01-14
380,Sodankylä Tähtelä,-1.0,30,3.6,2001-01-15
381,Sodankylä Tähtelä,-1.0,29,1.1,2001-01-16
382,Sodankylä Tähtelä,-1.0,29,-1.4,2001-01-17
383,Sodankylä Tähtelä,0.1,29,-6.1,2001-01-18
384,Sodankylä Tähtelä,0.0,29,-4.4,2001-01-19
385,Sodankylä Tähtelä,-1.0,29,-8.4,2001-01-20
386,Sodankylä Tähtelä,0.0,28,-11.6,2001-01-21
387,Sodankylä Tähtelä,0.1,28,-6.8,2001-01-22
388,Sodankylä Tähtelä,0.1,28,-5.9,2001-01-23
389,Sodankylä Tähtelä,0.1,28,-14.1,2001-01-24
390,Sodankylä Tähtelä,4.9,29,-9.2,2001-01-25
391,Sodankylä Tähtelä,0.1,32,-1.8,2001-01-26
392,Sodankylä Tähtelä,0.2,32,-0.2,2001-01-27
393,Sodankylä Tähtelä,4.1,31,-2.7,2001-01-28
394,Sodankylä Tähtelä,0.5,35,-7.4,2001-01-29
395,Sodankylä Tähtelä,0.6,36,-15.4,2001-01-30
